label	replace by
physical activity	Health
pick	
pickup	
place	
plan	
planned behavior	
planning	Policy Maker
platform	
point	
poland	Europe
policy	Policy Maker
policy maker	Policy Maker
policymaker	Policy Maker
popularity	
population	
possible strategy	
potential	
potential demand	
practice	
prediction	
presence	
present	
previous study	
pricing	
private car	Transport Alternatives
probability	
problem	
process	
product service system	
program	
programme	
project	
promotion	
provider	
provision	
public	
public bicycle	BSS
public bicycle system	BSS
public bike sharing	BSS
public bike sharing system	BSS
public bike system	BSS
public bikesharing	BSS
public bikesharing system	BSS
public health	Health
public service	
public transit	Transport Alternatives
public transit system	Transport Alternatives
public transport system	Transport Alternatives
public transportation	Transport Alternatives
public transportation system	Transport Alternatives
quality	
question	
questionnaire	
rail transit	Transport Alternatives
recent year	
random forest	Algorithms
rapid development	
rapid expansion	
rapid growth	
rapid increase	
reason	
rebalancing bike	Rebalancing
rebalancing problem	Rebalancing
recurrent neural network	Algorithms
redistribution	Redistribution
region	
regular commuter	
relation	
relationship	
relocation strategy	Rebalancing
rental	
rental station	
report	
requirement	
research	
research project	
researcher	
resident	
resource	
resource allocation	Redistribution
return	
review	
ride	
rider	
ridership	
rise	
risk	
role	
routing	Redistribution
safety	
san francisco	America
satisfaction	
scale	Trip Analysis
schedule	
scheme	
scooter	Transport Alternatives
scooter sharing	Vehicle-Sharing
season	Trip Analysis
self	
self service bike	
series	
serious problem	
service	Service analysis
service level	Service analysis
service network design	Service analysis
service provider	Service analysis
service quality	Service analysis
service system	Service analysis
set	
seville	Europe
shaheen	
shaheen et al	
shanghai	Asia
sharing	
sharing bike	BSS
sharing economy	Economy
shenzhen	
shift	
short distance	
short distance travel	Trip Analysis
short distance trip	Trip Analysis
short journey	Trip Analysis
sidewalk	
significant impact	
significant increase	
simulation	Algorithms
simulation model	Algorithms
singapore	Asia
situation	
size	
smart	
smart bike	BSS
smart bike sharing system	BSS
smart city	
smart solution	
society	
socio economic characteristic	Economy
solution	
south korea	Asia
space	
spatial distribution	Algorithms
spatiotemporal pattern	Trip Analysis
stakeholder	
start	
state	
static bike	Rebalancing
static rebalancing	Rebalancing
static rebalancing problem	Rebalancing
station	Docked Bike-Sharing
station level	Docked Bike-Sharing
stochastic demand	Trip Analysis
strategy	
street	
study	
subject	
subway	Transport Alternatives
subway station	Transport Alternatives
success	
supply	
survey	
sustainability	Sustainability
sustainable alternative	Sustainability
sustainable development	Sustainability
sustainable mobility	Sustainability
sustainable mode	Sustainability
sustainable transport mode	Sustainability
sustainable transport system	Sustainability
sustainable transportation	Sustainability
sustainable urban mobility	Sustainability
sustainable way	Sustainability
switzerland	Europe
system	
system design	
system operator	
taipei	Asia
taiwan	Asia
tam	
task	
taxi	
technical improvement	
technique	
technology	
technology acceptance model	
tennessee	America
term	
theory	
thessaloniki	
thing	
thousand	
tide	
time	Trip Analysis
today	
tool	
topic	
tourist	
tpb	
traditional bike	Transport Alternatives
transport	Transport Alternatives
transit system	
traffic	Traffic
traffic congestion	Traffic
traffic jam	Traffic
transit	
transport mode	Transport
transportation research board	
travel	Trip Analysis
travel behavior	Trip Analysis
travel characteristic	Trip Analysis
travel demand	Trip Analysis
travel mode	Trip Analysis
travel pattern	Trip Analysis
travel time	Trip Analysis
traveler	Trip Analysis
trend	
trid	
trip	Trip Analysis
trip chain	
trip data	Trip Analysis
trip purpose	Trip Analysis
tris	
trust	
type	
understanding	
understanding bike	
united state	America
united states	America
university	
unprecedented development	
urban bike	
urban bike sharing system	BSS
urban city	
urban environment	
urban mobility	Transport Alternatives
urban planning	
urban resident	
urban traffic	Traffic
urban traffic congestion	Traffic
urban transport	Transport Alternatives
urban transportation	Transport Alternatives
urban transportation system	Transport Alternatives
usa	America
usage	
usage pattern	Trip Analysis
use	
user	Trip Analysis
user behavior	Trip Analysis
user demand	Trip Analysis
user satisfaction	
utilization	
value	
vehicle routing	Redistribution
velib	Europe
velo	Europe
vehicle	
vienna	Europe
viewpoint	
visualization	
walking	
washington	America
way	
way trip	
weather	Trip Analysis
weather condition	Trip Analysis
week	Trip Analysis
willingness	
work	
world	
wuhan city	Asia
year	 Trip Analysis
